full_address,lat,lon
"18 Boonerah Street, Albion Park Rail, 2527, Australia",-34.5621327,150.802878
"27 Station Road, Albion Park Rail, 2527, Australia",-34.5632334,150.7977549
"14 Shearwater Boulevard, Albion Park Rail, 2527, Australia",,
"287 Rusden Street, Armidale, 2350, Australia",-30.509899349999998,151.64897080168114
"161 Markham Street, Armidale, 2350, Australia",-30.5177498,151.6572033731087
"3 Glendower Close, Armidale, 2350, Australia",-30.500820750000003,151.64776402781297
"77 Milton Street, Ashfield, 2131, Australia",-33.8887888,151.1174101
"31 Hugh Street, Ashfield, 2131, Australia",-33.8898876,151.122447
"11 Bolding Street, Ballina, 2478, Australia",-28.8667913,153.5486082
"26 Burnet Street, Ballina, 2478, Australia",-28.8681031,153.5669438106424
"50 Bass Street, Barrack Heights, 2528, Australia",-34.5663285,150.8628278
"42 The Kingsway St, Barrack Heights, 2528, Australia",,
"64 Gladstone Street, Bellambi, 2518, Australia",-34.3669673,150.911754
"31-33 Massey Street, Berkeley, 2506, Australia",-34.4781903,150.8506795
"1 George Street, Berkeley, 2506, Australia",-34.4816941,150.8549032
"1A George Street, Berkeley, 2506, Australia",-34.4816941,150.8549032
"8 Melaleuca Place, Bomaderry, 2541, Australia",-34.8415452,150.5970003
"34 Duke Street, Campsie, 2194, Australia",-33.9122604,151.1068884
"38 Shelley Street, Campsie, 2194, Australia",-33.9038814,151.1050424
"21 Edward Ogilvie Drive, Clarenza, 2460, Australia",-29.7223531,152.9634939
"1331 Lismore Road, Clunes, 2480, Australia",-28.7195849,153.4329563
"31 Murray Street, Croydon, 2132, Australia",-33.8837787,151.1103495
"110 Thomas Street, Croydon, 2132, Australia",-33.8845148,151.1145163
"15 Lang Street, Croydon, 2132, Australia",-33.8753279,151.1185031
"74 Brighton Street, Croydon, 2132, Australia",-33.888677,151.1103674
"1183 Jamberoo Road, Curramore, 2533, Australia",-34.6319385,150.7724729
"5 Bedford Crescent, Dulwich Hill, 2203, Australia",-33.9106285,151.1409997
"67 William Street, Earlwood, 2206, Australia",-33.9268359,151.1203756
"26 Buckland Street, Fernhill, 2519, Australia",-34.383267,150.8828667
"22 Outlook Drive, Figtree, 2525, Australia",-34.4356899,150.857351
"9 Queens Road, Five Dock, 2046, Australia",-33.8694813,151.1212628
"61 South Street, Forster, 2428, Australia",-32.1888681,152.5129131
"7-9 Fig Tree Court, Forster, 2428, Australia",-32.1949853,152.5132568
"453 Skyline Road, Goonellabah, 2480, Australia",-28.8341527,153.3228203
"20 Macquarie Street, Goulburn, 2580, Australia",-34.7445199,149.7041859
"18 Mitchell Street, Goulburn, 2580, Australia",-34.7288771,149.7016931
"232 Range Road, Baw Baw, 2580, Australia",-34.7330855,149.6781589
"8-10 Oakwood Avenue, Goulburn, 2580, Australia",-34.7309683,149.7189724
"2 Clyde Street, Goulburn, 2580, Australia",-34.7414692,149.6977597
"1C Rex Street, Goulburn, 2580, Australia",-34.7198151,149.7469854
"6 Record Street, Goulburn, 2580, Australia",-34.7256518,149.7409333
"4 Jarmain Close, Gunnedah, 2380, Australia",-30.9936941,150.2362786
"8 Smyth Close, Gunnedah, 2380, Australia",-30.9986424,150.2406336
"6 Manikato Place, Kembla Grange, 2526, Australia",-34.4718484,150.8257326
"18 Barrys Road, Modanville, 2480, Australia",,
"8-10 Aristo Crescent, Mount Ousley, 2519, Australia",-34.4037911,150.887522
"87 Station Street, Mullumbimby, 2482, Australia",-28.550287,153.5028758
